,team,opponent,date,min,win_or_lose,score,FGM,FGA,FG%,FG3M,FG3A,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
1207,DEN,SAS,01/13/2018,240,L,80,29,83,34.9,7,28,25.0,15,17,88.2,11,30,41,18,9,4,17,16,-32
1208,NOP,POR,01/12/2018,240,W,119,45,82,54.9,7,19,36.8,22,23,95.7,9,34,43,26,7,6,18,16,6
1209,POR,NOP,01/12/2018,240,L,113,45,101,44.6,12,42,28.6,11,14,78.6,14,25,39,24,13,6,11,22,-6
1210,ORL,WAS,01/12/2018,240,L,119,41,80,51.3,12,29,41.4,25,31,80.6,12,28,40,32,7,3,16,21,-6
1211,WAS,ORL,01/12/2018,240,W,125,54,95,56.8,4,16,25.0,13,19,68.4,14,27,41,26,9,6,12,22,6
1212,MIN,NYK,01/12/2018,240,W,118,49,95,51.6,10,27,37.0,10,16,62.5,16,27,43,33,12,4,12,12,10
1213,NYK,MIN,01/12/2018,240,L,108,45,83,54.2,12,24,50.0,6,9,66.7,9,27,36,25,6,6,16,17,-10
1214,CHA,UTA,01/12/2018,240,W,99,32,78,41.0,9,27,33.3,26,34,76.5,8,38,46,17,8,2,13,19,11
1215,UTA,CHA,01/12/2018,240,L,88,28,77,36.4,12,35,34.3,20,23,87.0,8,37,45,19,5,8,15,26,-11
1216,DEN,MEM,01/12/2018,240,W,87,27,70,38.6,7,22,31.8,26,32,81.3,12,35,47,15,8,3,15,18,9
1217,MEM,DEN,01/12/2018,240,L,78,30,77,39.0,7,24,29.2,11,14,78.6,8,28,36,17,8,5,15,28,-9
1218,BKN,ATL,01/12/2018,240,W,110,40,87,46.0,13,34,38.2,17,26,65.4,13,30,43,29,8,1,15,24,5
1219,ATL,BKN,01/12/2018,240,L,105,37,80,46.3,11,28,39.3,20,26,76.9,8,38,46,21,6,3,18,25,-5
1220,CLE,IND,01/12/2018,240,L,95,37,85,43.5,7,34,20.6,14,19,73.7,9,37,46,19,12,5,12,15,-2
1221,IND,CLE,01/12/2018,240,W,97,39,85,45.9,10,21,47.6,9,12,75.0,6,38,44,16,5,4,14,18,2
1222,GSW,MIL,01/12/2018,240,W,108,44,79,55.7,5,15,33.3,15,18,83.3,10,33,43,28,7,3,11,13,14
1223,MIL,GSW,01/12/2018,240,L,94,36,85,42.4,11,28,39.3,11,12,91.7,8,25,33,21,9,6,12,20,-14
1224,HOU,PHX,01/12/2018,240,W,112,39,94,41.5,15,47,31.9,19,22,86.4,14,39,53,18,11,4,11,14,17
1225,PHX,HOU,01/12/2018,240,L,95,37,80,46.3,14,33,42.4,7,9,77.8,4,34,38,27,5,3,19,19,-17
1226,CLE,TOR,01/11/2018,240,L,99,34,89,38.2,6,26,23.1,25,30,83.3,9,26,35,18,3,4,10,16,-34
1227,TOR,CLE,01/11/2018,240,W,133,53,106,50.0,18,42,42.9,9,13,69.2,18,45,63,31,3,7,9,25,34
1228,SAC,LAC,01/11/2018,240,L,115,42,85,49.4,8,26,30.8,23,28,82.1,10,34,44,23,9,3,16,25,-6
1229,LAC,SAC,01/11/2018,240,W,121,43,84,51.2,13,31,41.9,22,30,73.3,8,31,39,28,9,5,18,19,6
1230,LAL,SAS,01/11/2018,240,W,93,36,87,41.4,13,38,34.2,8,14,57.1,12,35,47,22,15,4,16,17,12
1231,SAS,LAL,01/11/2018,240,L,81,31,76,40.8,8,20,40.0,11,15,73.3,7,38,45,21,6,5,21,15,-12
1232,BOS,PHI,01/11/2018,240,W,114,43,89,48.3,13,35,37.1,15,19,78.9,11,35,46,24,11,2,18,18,11
1233,PHI,BOS,01/11/2018,240,L,103,38,82,46.3,11,28,39.3,16,18,88.9,3,34,37,20,12,4,19,19,-11
1234,MEM,NOP,01/10/2018,240,W,105,37,88,42.0,5,19,26.3,26,32,81.3,14,36,50,21,7,5,10,26,3
1235,NOP,MEM,01/10/2018,240,L,102,34,77,44.2,11,35,31.4,23,34,67.6,9,31,40,20,5,7,12,26,-3
1236,UTA,WAS,01/10/2018,240,W,107,43,92,46.7,11,33,33.3,10,13,76.9,11,28,39,23,15,3,13,17,3
1237,WAS,UTA,01/10/2018,240,L,104,41,78,52.6,10,25,40.0,12,17,70.6,9,36,45,25,8,1,23,17,-3
1238,CHA,DAL,01/10/2018,240,L,111,43,84,51.2,10,26,38.5,15,30,50.0,4,39,43,16,6,5,11,22,-4
1239,DAL,CHA,01/10/2018,240,W,115,39,83,47.0,15,36,41.7,22,28,78.6,3,36,39,23,7,7,8,22,4
1240,OKC,MIN,01/10/2018,240,L,88,32,80,40.0,6,25,24.0,18,24,75.0,10,31,41,13,9,2,19,22,-16
1241,MIN,OKC,01/10/2018,240,W,104,39,80,48.8,7,20,35.0,19,27,70.4,11,34,45,22,11,5,16,22,16
1242,DEN,ATL,01/10/2018,240,L,97,38,95,40.0,9,37,24.3,12,20,60.0,14,26,40,27,13,6,12,18,-13
1243,ATL,DEN,01/10/2018,240,W,110,40,80,50.0,12,27,44.4,18,18,100,6,38,44,25,6,4,16,23,13
1244,IND,MIA,01/10/2018,240,L,106,43,87,49.4,1,18,5.6,19,29,65.5,12,33,45,13,7,3,14,23,-8
1245,MIA,IND,01/10/2018,240,W,114,43,81,53.1,13,30,43.3,15,21,71.4,6,31,37,25,6,6,16,25,8
1246,ORL,MIL,01/10/2018,240,L,103,39,90,43.3,8,29,27.6,17,18,94.4,8,26,34,26,6,4,10,21,-7
1247,MIL,ORL,01/10/2018,240,W,110,45,82,54.9,4,19,21.1,16,25,64.0,11,36,47,20,4,9,17,21,7
1248,HOU,POR,01/10/2018,240,W,121,45,100,45.0,12,38,31.6,19,25,76.0,17,32,49,25,7,5,13,30,9
1249,POR,HOU,01/10/2018,240,L,112,40,83,48.2,9,26,34.6,23,32,71.9,6,34,40,21,5,6,14,26,-9
1250,DET,BKN,01/10/2018,240,W,114,48,93,51.6,10,21,47.6,8,12,66.7,11,43,54,24,10,4,13,14,34
1251,BKN,DET,01/10/2018,240,L,80,27,74,36.5,12,37,32.4,14,15,93.3,2,33,35,19,11,2,20,11,-34
1252,CHI,NYK,01/10/2018,290,W,122,45,98,45.9,15,33,45.5,17,20,85.0,10,38,48,21,10,5,17,19,3
1253,NYK,CHI,01/10/2018,290,L,119,48,96,50.0,10,22,45.5,13,21,61.9,11,40,51,24,5,9,18,20,-3
1254,LAC,GSW,01/10/2018,240,W,125,46,94,48.9,11,24,45.8,22,28,78.6,11,35,46,24,9,3,14,19,19
1255,GSW,LAC,01/10/2018,240,L,106,38,79,48.1,8,23,34.8,22,26,84.6,4,29,33,26,9,6,16,21,-19
1256,OKC,POR,01/09/2018,240,L,106,37,84,44.0,13,31,41.9,19,26,73.1,11,27,38,20,6,4,14,17,-11
1257,POR,OKC,01/09/2018,240,W,117,43,81,53.1,10,23,43.5,21,26,80.8,8,34,42,19,10,2,16,20,11
1258,TOR,MIA,01/09/2018,240,L,89,35,90,38.9,7,21,33.3,12,15,80.0,7,30,37,15,7,12,5,16,-1
1259,MIA,TOR,01/09/2018,240,W,90,39,97,40.2,4,22,18.2,8,10,80.0,20,44,64,18,2,14,14,19,1
1260,ORL,DAL,01/09/2018,240,L,99,36,79,45.6,11,29,37.9,16,22,72.7,9,32,41,27,2,4,13,23,-15
1261,DAL,ORL,01/09/2018,240,W,114,43,83,51.8,9,26,34.6,19,22,86.4,5,33,38,27,6,2,4,22,15
1262,SAC,LAL,01/09/2018,240,L,86,30,87,34.5,8,21,38.1,18,27,66.7,10,33,43,15,15,4,16,19,-13
1263,LAL,SAC,01/09/2018,240,W,99,37,77,48.1,12,35,34.3,13,21,61.9,9,46,55,30,12,4,26,23,13
1264,DET,NOP,01/08/2018,240,L,109,41,93,44.1,8,27,29.6,19,22,86.4,12,27,39,22,5,4,12,18,-3
1265,NOP,DET,01/08/2018,240,W,112,46,82,56.1,6,22,27.3,14,21,66.7,9,32,41,31,7,9,17,18,3
1266,CLE,MIN,01/08/2018,240,L,99,37,84,44.0,13,38,34.2,12,16,75.0,8,29,37,26,0,4,14,15,-28
1267,MIN,CLE,01/08/2018,240,W,127,52,100,52.0,10,31,32.3,13,17,76.5,15,41,56,30,6,2,5,17,28
1268,SAC,SAS,01/08/2018,240,L,100,40,82,48.8,8,23,34.8,12,16,75.0,8,37,45,19,6,1,18,14,-7
1269,SAS,SAC,01/08/2018,240,W,107,44,90,48.9,11,26,42.3,8,13,61.5,8,29,37,23,11,4,10,12,7
1270,MIL,IND,01/08/2018,240,L,96,34,74,45.9,7,27,25.9,21,27,77.8,5,29,34,18,11,4,18,24,-13
1271,IND,MIL,01/08/2018,240,W,109,44,79,55.7,7,22,31.8,14,20,70.0,8,32,40,30,9,5,16,23,13
1272,ATL,LAC,01/08/2018,240,L,107,38,96,39.6,10,37,27.0,21,29,72.4,19,37,56,20,9,8,14,26,-1
1273,LAC,ATL,01/08/2018,240,W,108,38,85,44.7,9,18,50.0,23,34,67.6,14,33,47,16,10,9,17,25,1
1274,BKN,TOR,01/08/2018,265,L,113,39,100,39.0,12,33,36.4,23,28,82.1,11,44,55,22,8,2,16,27,-1
1275,TOR,BKN,01/08/2018,265,W,114,43,101,42.6,10,34,29.4,18,23,78.3,8,43,51,19,7,12,15,27,1
1276,HOU,CHI,01/08/2018,240,W,116,39,86,45.3,20,54,37.0,18,24,75.0,11,40,51,28,6,6,17,14,9
1277,CHI,HOU,01/08/2018,240,L,107,40,86,46.5,12,28,42.9,15,18,83.3,3,34,37,26,6,5,13,17,-9
1278,GSW,DEN,01/08/2018,240,W,124,48,85,56.5,13,30,43.3,15,21,71.4,10,33,43,33,7,10,16,15,10
1279,DEN,GSW,01/08/2018,240,L,114,47,95,49.5,8,19,42.1,12,16,75.0,13,26,39,30,8,3,11,16,-10
1280,NYK,DAL,01/07/2018,240,W,100,38,83,45.8,6,16,37.5,18,20,90.0,10,49,59,22,4,6,16,23,4
1281,DAL,NYK,01/07/2018,240,L,96,35,92,38.0,6,24,25.0,20,24,83.3,9,31,40,22,7,3,7,20,-4
1282,SAS,POR,01/07/2018,240,L,110,40,81,49.4,11,23,47.8,19,26,73.1,10,32,42,26,4,5,14,16,-1
1283,POR,SAS,01/07/2018,240,W,111,48,92,52.2,8,23,34.8,7,10,70.0,9,29,38,19,7,5,9,24,1
1284,UTA,MIA,01/07/2018,240,L,102,37,82,45.1,10,32,31.3,18,20,90.0,8,36,44,15,6,5,11,18,-1
1285,MIA,UTA,01/07/2018,240,W,103,40,83,48.2,9,29,31.0,14,20,70.0,8,29,37,21,6,6,8,16,1
1286,PHX,OKC,01/07/2018,240,W,114,39,88,44.3,17,39,43.6,19,23,82.6,12,31,43,24,6,6,9,19,14
1287,OKC,PHX,01/07/2018,240,L,100,40,86,46.5,8,27,29.6,12,21,57.1,8,34,42,23,7,7,12,17,-14
1288,LAL,ATL,01/07/2018,240,W,132,48,86,55.8,16,36,44.4,20,25,80.0,6,43,49,32,13,6,18,25,19
1289,ATL,LAL,01/07/2018,240,L,113,41,94,43.6,12,34,35.3,19,23,82.6,10,27,37,22,5,4,15,16,-19
1290,MIL,WAS,01/06/2018,240,W,110,39,80,48.8,7,22,31.8,25,30,83.3,10,35,45,20,11,6,16,26,7
1291,WAS,MIL,01/06/2018,240,L,103,37,78,47.4,8,21,38.1,21,29,72.4,4,30,34,25,6,6,14,22,-7
1292,MIN,NOP,01/06/2018,240,W,116,44,90,48.9,9,18,50.0,19,21,90.5,13,34,47,26,10,5,10,20,18
1293,NOP,MIN,01/06/2018,240,L,98,33,78,42.3,6,29,20.7,26,28,92.9,7,31,38,20,5,6,16,19,-18
1294,DEN,SAC,01/06/2018,240,L,98,35,76,46.1,13,34,38.2,15,21,71.4,8,38,46,20,2,6,26,17,-8
1295,SAC,DEN,01/06/2018,240,W,106,42,94,44.7,9,25,36.0,13,17,76.5,10,29,39,21,16,4,9,22,8
1296,CHI,IND,01/06/2018,240,L,86,30,80,37.5,10,32,31.3,16,20,80.0,9,24,33,15,4,6,16,15,-39
1297,IND,CHI,01/06/2018,240,W,125,48,86,55.8,15,31,48.4,14,18,77.8,10,39,49,24,9,4,13,19,39
1298,DET,HOU,01/06/2018,240,W,108,38,75,50.7,12,25,48.0,20,27,74.1,5,30,35,21,8,4,13,15,7
1299,HOU,DET,01/06/2018,240,L,101,38,90,42.2,15,47,31.9,10,11,90.9,12,30,42,29,5,4,15,20,-7
1300,CLE,ORL,01/06/2018,240,W,131,47,94,50.0,15,34,44.1,22,31,71.0,14,31,45,25,11,2,18,26,4
1301,ORL,CLE,01/06/2018,240,L,127,49,98,50.0,14,37,37.8,15,22,68.2,14,32,46,29,5,2,20,28,-4
1302,LAC,GSW,01/06/2018,240,L,105,39,91,42.9,3,11,27.3,24,30,80.0,10,35,45,19,10,7,18,25,-16
1303,GSW,LAC,01/06/2018,240,W,121,39,94,41.5,13,39,33.3,30,37,81.1,14,40,54,31,13,10,17,25,16
1304,BOS,BKN,01/06/2018,240,W,87,37,98,37.8,5,18,27.8,8,15,53.3,12,32,44,12,8,13,5,17,2
1305,BKN,BOS,01/06/2018,240,L,85,30,91,33.0,6,31,19.4,19,22,86.4,12,43,55,11,2,11,18,14,-2
1306,WAS,MEM,01/05/2018,240,W,102,33,84,39.3,10,27,37.0,26,34,76.5,12,36,48,21,7,7,14,23,2
1307,MEM,WAS,01/05/2018,240,L,100,35,86,40.7,10,30,33.3,20,26,76.9,11,35,46,20,6,9,16,25,-2
1308,UTA,DEN,01/05/2018,240,L,91,38,84,45.2,12,33,36.4,3,6,50.0,8,45,53,26,7,5,17,16,-8
1309,DEN,UTA,01/05/2018,240,W,99,38,86,44.2,14,35,40.0,9,15,60.0,4,33,37,24,9,1,10,11,8
1310,DAL,CHI,01/05/2018,240,L,124,49,92,53.3,14,32,43.8,12,17,70.6,7,27,34,33,11,2,13,24,-3
1311,CHI,DAL,01/05/2018,240,W,127,44,78,56.4,14,28,50.0,25,31,80.6,8,34,42,25,9,3,19,19,3
1312,MIL,TOR,01/05/2018,240,L,110,41,77,53.2,7,17,41.2,21,29,72.4,5,23,28,26,4,4,11,23,-19
1313,TOR,MIL,01/05/2018,240,W,129,48,86,55.8,10,33,30.3,23,28,82.1,12,31,43,25,9,5,11,22,19
1314,ATL,POR,01/05/2018,240,L,89,30,83,36.1,8,26,30.8,21,25,84.0,11,28,39,14,7,5,16,16,-21
1315,POR,ATL,01/05/2018,240,W,110,43,80,53.8,13,30,43.3,11,14,78.6,6,38,44,30,11,5,18,20,21
1316,NYK,MIA,01/05/2018,265,L,103,39,80,48.8,5,13,38.5,20,23,87.0,8,31,39,14,11,7,19,26,-4
1317,MIA,NYK,01/05/2018,265,W,107,38,94,40.4,12,42,28.6,19,20,95.0,15,29,44,24,10,5,15,19,4
1318,MIN,BOS,01/05/2018,240,L,84,28,76,36.8,7,23,30.4,21,28,75.0,9,34,43,15,6,5,12,15,-7
1319,BOS,MIN,01/05/2018,240,W,91,38,94,40.4,6,36,16.7,9,13,69.2,17,39,56,24,6,4,11,22,7
1320,LAL,CHA,01/05/2018,240,L,94,38,94,40.4,9,36,25.0,9,12,75.0,12,34,46,24,7,3,16,19,-14
1321,CHA,LAL,01/05/2018,240,W,108,42,99,42.4,12,33,36.4,12,16,75.0,16,40,56,26,10,3,15,17,14
1322,SAS,PHX,01/05/2018,240,W,103,41,87,47.1,11,30,36.7,10,18,55.6,7,37,44,21,15,6,17,16,14
1323,PHX,SAS,01/05/2018,240,L,89,35,83,42.2,7,30,23.3,12,18,66.7,9,37,46,22,11,2,23,23,-14
1324,DET,PHI,01/05/2018,240,L,78,30,78,38.5,7,22,31.8,11,19,57.9,6,28,34,20,9,4,12,14,-36
1325,PHI,DET,01/05/2018,240,W,114,44,90,48.9,14,30,46.7,12,13,92.3,13,42,55,29,5,4,14,17,36
1326,GSW,HOU,01/04/2018,240,W,124,48,87,55.2,13,30,43.3,15,20,75.0,6,39,45,35,6,6,13,18,10
1327,HOU,GSW,01/04/2018,240,L,114,42,89,47.2,17,50,34.0,13,22,59.1,6,32,38,20,7,3,10,17,-10
1328,OKC,LAC,01/04/2018,240,W,127,51,95,53.7,15,34,44.1,10,14,71.4,11,35,46,23,4,6,14,23,10
1329,LAC,OKC,01/04/2018,240,L,117,45,100,45.0,9,30,30.0,18,23,78.3,15,30,45,29,5,2,10,15,-10
1330,NYK,WAS,01/03/2018,240,L,103,41,86,47.7,7,19,36.8,14,18,77.8,8,28,36,19,7,5,14,20,-18
1331,WAS,NYK,01/03/2018,240,W,121,48,81,59.3,9,23,39.1,16,26,61.5,6,36,42,27,9,5,13,21,18
1332,DEN,PHX,01/03/2018,240,W,134,51,82,62.2,12,27,44.4,20,22,90.9,8,40,48,35,8,9,20,16,23
1333,PHX,DEN,01/03/2018,240,L,111,39,92,42.4,13,35,37.1,20,28,71.4,14,21,35,26,12,1,12,18,-23
1334,GSW,DAL,01/03/2018,240,W,125,48,91,52.7,13,32,40.6,16,19,84.2,7,39,46,36,8,7,14,21,3
1335,DAL,GSW,01/03/2018,240,L,122,43,90,47.8,19,43,44.2,17,22,77.3,7,33,40,29,6,2,13,17,-3
1336,UTA,NOP,01/03/2018,240,L,98,38,84,45.2,7,32,21.9,15,17,88.2,6,30,36,23,12,1,14,21,-10
1337,NOP,UTA,01/03/2018,240,W,108,41,82,50.0,14,30,46.7,12,12,100,7,35,42,23,8,2,20,18,10
1338,IND,MIL,01/03/2018,240,L,101,41,84,48.8,3,15,20.0,16,19,84.2,8,22,30,24,7,2,15,20,-21
1339,MIL,IND,01/03/2018,240,W,122,44,75,58.7,9,17,52.9,25,28,89.3,6,28,34,33,8,5,16,23,21
1340,MIA,DET,01/03/2018,240,W,111,43,84,51.2,17,34,50.0,8,11,72.7,7,34,41,29,6,3,12,16,7
1341,DET,MIA,01/03/2018,240,L,104,41,86,47.7,9,24,37.5,13,16,81.3,5,30,35,21,4,2,9,14,-7
1342,ORL,HOU,01/03/2018,240,L,98,35,91,38.5,6,31,19.4,22,25,88.0,9,39,48,16,7,3,12,19,-18
1343,HOU,ORL,01/03/2018,240,W,116,42,89,47.2,15,34,44.1,17,21,81.0,9,42,51,25,6,3,16,19,18
1344,CLE,BOS,01/03/2018,240,L,88,31,89,34.8,8,32,25.0,18,18,100,9,39,48,16,6,7,15,17,-14
1345,BOS,CLE,01/03/2018,240,W,102,41,92,44.6,12,36,33.3,8,11,72.7,9,43,52,27,9,2,16,20,14
1346,MIN,BKN,01/03/2018,240,L,97,36,80,45.0,1,11,9.1,24,30,80.0,7,25,32,10,9,4,8,12,-1
1347,BKN,MIN,01/03/2018,240,W,98,37,72,51.4,14,30,46.7,10,11,90.9,4,34,38,22,3,3,20,23,1
1348,CHI,TOR,01/03/2018,240,L,115,43,93,46.2,13,33,39.4,16,19,84.2,9,34,43,29,5,2,13,20,-9
1349,TOR,CHI,01/03/2018,240,W,124,45,92,48.9,15,38,39.5,19,19,100,7,42,49,23,9,5,11,20,9
1350,LAL,OKC,01/03/2018,240,L,96,38,92,41.3,11,33,33.3,9,15,60.0,16,29,45,24,5,4,17,10,-37
1351,OKC,LAL,01/03/2018,240,W,133,56,93,60.2,14,30,46.7,7,9,77.8,7,37,44,36,12,5,9,17,37
1352,SAS,PHI,01/03/2018,240,L,106,39,87,44.8,8,25,32.0,20,23,87.0,12,31,43,15,4,4,16,25,-6
1353,PHI,SAS,01/03/2018,240,W,112,36,80,45.0,7,22,31.8,33,43,76.7,13,32,45,23,10,5,13,21,6
1354,CHA,SAC,01/02/2018,240,W,131,51,89,57.3,15,32,46.9,14,18,77.8,5,25,30,25,7,3,3,14,20
1355,SAC,CHA,01/02/2018,240,L,111,45,87,51.7,7,17,41.2,14,18,77.8,16,31,47,22,1,2,15,19,-20
1356,CLE,POR,01/02/2018,240,W,127,43,83,51.8,13,32,40.6,28,37,75.7,8,32,40,28,11,4,10,17,17
1357,POR,CLE,01/02/2018,240,L,110,42,90,46.7,13,32,40.6,13,19,68.4,13,30,43,25,5,5,15,29,-17
1358,LAC,MEM,01/02/2018,240,W,113,39,71,54.9,9,23,39.1,26,31,83.9,4,30,34,23,5,3,19,24,8
1359,MEM,LAC,01/02/2018,240,L,105,38,79,48.1,8,26,30.8,21,33,63.6,10,28,38,18,10,2,14,29,-8
1360,ATL,PHX,01/02/2018,240,L,103,36,87,41.4,10,31,32.3,21,25,84.0,17,23,40,18,11,3,16,22,-1
1361,PHX,ATL,01/02/2018,240,W,104,39,77,50.6,7,22,31.8,19,26,73.1,11,36,47,24,7,4,22,22,1
1362,NYK,SAS,01/02/2018,240,L,91,35,87,40.2,7,22,31.8,14,18,77.8,12,38,50,21,5,7,14,23,-9
1363,SAS,NYK,01/02/2018,240,W,100,31,82,37.8,10,27,37.0,28,34,82.4,14,36,50,18,11,5,8,17,9
1364,TOR,MIL,01/01/2018,265,W,131,45,91,49.5,14,33,42.4,27,33,81.8,6,34,40,25,8,8,13,20,4
1365,MIL,TOR,01/01/2018,265,L,127,44,93,47.3,13,27,48.1,26,28,92.9,10,33,43,27,9,3,15,23,-4
1366,LAL,MIN,01/01/2018,240,L,96,34,76,44.7,8,26,30.8,20,29,69.0,9,28,37,18,12,4,24,25,-18
1367,MIN,LAL,01/01/2018,240,W,114,40,81,49.4,7,20,35.0,27,30,90.0,7,34,41,26,14,5,17,24,18
1368,ORL,BKN,01/01/2018,240,L,95,35,96,36.5,6,31,19.4,19,25,76.0,19,33,52,16,5,5,12,18,-3
1369,BKN,ORL,01/01/2018,240,W,98,36,82,43.9,9,25,36.0,17,23,73.9,10,42,52,17,7,10,13,22,3
1370,POR,CHI,01/01/2018,265,W,124,47,108,43.5,14,33,42.4,16,18,88.9,12,38,50,25,7,5,8,16,4
1371,CHI,POR,01/01/2018,265,L,120,45,104,43.3,11,27,40.7,19,23,82.6,15,43,58,28,5,7,12,21,-4
1372,DAL,OKC,12/31/2017,240,W,116,46,89,51.7,15,34,44.1,9,14,64.3,8,28,36,26,5,5,8,18,3
1373,OKC,DAL,12/31/2017,240,L,113,43,89,48.3,10,32,31.3,17,23,73.9,11,34,45,18,4,4,11,20,-3
1374,WAS,CHI,12/31/2017,240,W,114,43,93,46.2,16,36,44.4,12,17,70.6,12,35,47,27,6,8,10,24,4
1375,CHI,WAS,12/31/2017,240,L,110,42,92,45.7,8,35,22.9,18,22,81.8,10,36,46,24,6,1,12,22,-4
1376,MEM,SAC,12/31/2017,240,W,114,41,76,53.9,14,30,46.7,18,24,75.0,6,38,44,22,11,8,16,21,18
1377,SAC,MEM,12/31/2017,240,L,96,37,86,43.0,9,24,37.5,13,25,52.0,12,30,42,20,6,2,16,21,-18
1378,MIN,IND,12/31/2017,240,W,107,41,86,47.7,4,19,21.1,21,25,84.0,13,31,44,20,11,8,8,20,17
1379,IND,MIN,12/31/2017,240,L,90,33,85,38.8,10,25,40.0,14,18,77.8,13,30,43,20,3,5,17,18,-17
1380,LAL,HOU,12/31/2017,290,L,142,53,105,50.5,10,25,40.0,26,37,70.3,15,39,54,31,6,4,16,32,-6
1381,HOU,LAL,12/31/2017,290,W,148,49,106,46.2,18,52,34.6,32,39,82.1,15,28,43,29,7,9,12,33,6
1382,CHA,LAC,12/31/2017,240,L,98,36,93,38.7,11,33,33.3,15,19,78.9,15,32,47,23,10,3,17,21,-8
1383,LAC,CHA,12/31/2017,240,W,106,36,76,47.4,10,28,35.7,24,27,88.9,6,36,42,24,9,5,17,21,8
1384,BKN,BOS,12/31/2017,240,L,105,39,95,41.1,11,36,30.6,16,19,84.2,11,34,45,25,5,4,11,19,-3
1385,BOS,BKN,12/31/2017,240,W,108,39,79,49.4,14,33,42.4,16,25,64.0,8,42,50,21,7,8,17,22,3
1386,PHX,PHI,12/31/2017,240,L,110,37,88,42.0,10,27,37.0,26,34,76.5,12,23,35,18,9,4,16,29,-13
1387,PHI,PHX,12/31/2017,240,W,123,43,77,55.8,10,24,41.7,27,34,79.4,11,33,44,24,11,7,21,32,13
1388,NOP,NYK,12/30/2017,240,L,103,38,84,45.2,6,26,23.1,21,27,77.8,4,44,48,24,3,5,10,19,-2
1389,NYK,NOP,12/30/2017,240,W,105,41,94,43.6,5,19,26.3,18,21,85.7,9,42,51,24,6,7,7,24,2
1390,DEN,PHI,12/30/2017,240,L,102,35,87,40.2,7,32,21.9,25,34,73.5,10,38,48,18,10,9,13,12,-5
1391,PHI,DEN,12/30/2017,240,W,107,45,93,48.4,8,24,33.3,9,10,90.0,7,34,41,34,6,3,13,25,5
1392,ATL,POR,12/30/2017,240,W,104,40,89,44.9,14,30,46.7,10,15,66.7,13,32,45,29,12,3,13,16,15
1393,POR,ATL,12/30/2017,240,L,89,36,85,42.4,7,25,28.0,10,13,76.9,15,31,46,19,9,8,20,18,-15
1394,CLE,UTA,12/30/2017,240,L,101,34,81,42.0,12,40,30.0,21,26,80.8,9,37,46,20,6,5,15,19,-3
1395,UTA,CLE,12/30/2017,240,W,104,38,82,46.3,10,31,32.3,18,21,85.7,5,38,43,24,12,4,11,24,3
1396,DET,SAS,12/30/2017,240,W,93,36,81,44.4,8,24,33.3,13,16,81.3,6,39,45,22,10,1,11,11,14
1397,SAS,DET,12/30/2017,240,L,79,31,84,36.9,5,26,19.2,12,13,92.3,10,36,46,18,8,5,14,13,-14
1398,ORL,MIA,12/30/2017,240,L,111,44,81,54.3,12,27,44.4,11,15,73.3,9,28,37,31,2,9,12,20,-6
1399,MIA,ORL,12/30/2017,240,W,117,45,88,51.1,12,24,50.0,15,18,83.3,11,29,40,24,6,2,10,17,6
1400,GSW,MEM,12/30/2017,240,W,141,50,85,58.8,18,33,54.5,23,25,92.0,7,31,38,37,3,6,10,17,13
1401,MEM,GSW,12/30/2017,240,L,128,49,94,52.1,15,21,71.4,15,22,68.2,13,25,38,29,6,0,8,22,-13
1402,NOP,DAL,12/29/2017,240,L,120,42,85,49.4,8,31,25.8,28,32,87.5,4,27,31,28,8,6,8,19,-8
1403,DAL,NOP,12/29/2017,240,W,128,46,83,55.4,22,39,56.4,14,18,77.8,5,38,43,27,5,4,18,23,8
1404,OKC,MIL,12/29/2017,240,L,95,38,83,45.8,7,25,28.0,12,20,60.0,10,35,45,16,5,5,13,19,-2
1405,MIL,OKC,12/29/2017,240,W,97,40,85,47.1,9,29,31.0,8,17,47.1,12,31,43,26,9,7,9,23,2
1406,TOR,ATL,12/29/2017,240,W,111,46,105,43.8,13,37,35.1,6,8,75.0,19,32,51,22,9,15,12,22,13
1407,ATL,TOR,12/29/2017,240,L,98,38,88,43.2,9,24,37.5,13,20,65.0,14,34,48,21,6,7,18,15,-13
1408,HOU,WAS,12/29/2017,240,L,103,38,89,42.7,14,48,29.2,13,16,81.3,8,27,35,15,11,2,14,13,-18
1409,WAS,HOU,12/29/2017,240,W,121,47,88,53.4,18,36,50.0,9,12,75.0,10,35,45,23,12,5,18,15,18
1410,PHX,SAC,12/29/2017,240,W,111,41,85,48.2,13,30,43.3,16,24,66.7,16,31,47,26,5,5,11,19,10
1411,SAC,PHX,12/29/2017,240,L,101,37,80,46.3,8,23,34.8,19,23,82.6,8,29,37,23,6,2,9,23,-10
1412,MIA,BKN,12/29/2017,240,L,87,30,89,33.7,3,26,11.5,24,31,77.4,12,31,43,12,9,3,11,18,-24
1413,BKN,MIA,12/29/2017,240,W,111,39,79,49.4,11,26,42.3,22,25,88.0,8,46,54,25,8,4,19,23,24
1414,IND,CHI,12/29/2017,240,L,107,43,93,46.2,7,22,31.8,14,20,70.0,11,32,43,22,10,6,10,15,-12
1415,CHI,IND,12/29/2017,240,W,119,43,85,50.6,18,39,46.2,15,15,100,7,33,40,31,6,4,15,20,12
